"統計名：","法人企業統計調査 時系列データ"
"表番号：","1"
"表題：","[時系列データ] 金融業、保険業以外の業種(原数値)"
"実施年月：","2024年度","-"

"*","計算結果が値を持たない項目"
"***","数字が得られないもの"

"","","","","","","","","","/調査項目 (金融業、保険業以外の業種) コード","012","013","016","217","022","062","146","147","148","149"
"","","","","","","","","","/調査項目 (金融業、保険業以外の業種) 補助コード","-","-","-","-","-","-","-","-","-","-"
"業種 (金融業、保険業以外の業種) コード","業種 (金融業、保険業以外の業種) 補助コード","業種 (金融業、保険業以外の業種)","規模 (金融業、保険業以外の業種) コード","規模 (金融業、保険業以外の業種) 補助コード","規模 (金融業、保険業以外の業種)","年  期 コード","年  期 補助コード","年  期","/調査項目 (金融業、保険業以外の業種)","土地(当期末固定資産)【百万円】","建設仮勘定(当期末固定資産)【百万円】","ソフトウェア(当期末固定資産)【百万円】","無形固定資産計(当期末固定資産)【百万円】","資産合計(当期末)【百万円】","減価償却費(当期末)【百万円】","棚卸資産(当期末)【百万円】","固定資産(当期末)【百万円】","有形固定資産(当期末)【百万円】","無形固定資産(当期末)【百万円】"
"104","","全産業（除く金融保険業）","24","","1億円以上 - 10億円未満","20170","","2017年度","","23,882,938","2,072,611","1,612,987","4,226,401","223,922,467","5,501,353","18,904,096","95,638,523","61,732,165","4,226,401"
"104","","全産業（除く金融保険業）","24","","1億円以上 - 10億円未満","20180","","2018年度","","22,740,854","1,892,569","1,611,137","3,720,153","232,973,867","5,420,571","20,682,796","100,526,470","59,532,625","3,720,153"
"104","","全産業（除く金融保険業）","24","","1億円以上 - 10億円未満","20190","","2019年度","","22,544,044","2,542,841","1,611,058","3,445,920","228,468,640","5,624,588","20,949,951","99,057,257","60,786,920","3,445,920"
"104","","全産業（除く金融保険業）","24","","1億円以上 - 10億円未満","20200","","2020年度","","23,029,023","2,583,206","2,066,570","4,479,473","236,262,798","6,043,638","22,318,528","101,150,606","62,709,473","4,479,473"
"104","","全産業（除く金融保険業）","24","","1億円以上 - 10億円未満","20210","","2021年度","","22,837,600","3,065,801","2,495,452","5,485,393","265,581,078","6,225,987","26,959,493","110,560,563","64,082,639","5,485,393"
"104","","全産業（除く金融保険業）","24","","1億円以上 - 10億円未満","20220","","2022年度","","25,369,405","3,203,745","2,309,507","6,215,107","282,753,991","6,224,791","29,395,337","120,042,235","68,798,024","6,215,107"
"104","","全産業（除く金融保険業）","24","","1億円以上 - 10億円未満","20230","","2023年度","","25,538,822","2,588,774","2,629,244","5,029,666","298,385,964","6,825,576","33,459,187","125,110,119","71,680,619","5,029,666"
"104","","全産業（除く金融保険業）","24","","1億円以上 - 10億円未満","20240","","2024年度","","26,982,813","3,532,798","2,791,697","7,294,748","322,057,700","7,246,013","33,871,122","139,968,748","78,456,434","7,294,748"
"104","","全産業（除く金融保険業）","21","","5千万円以上 - 1億円未満","20150","","2015年度","","22,686,677","892,541","385,952","1,372,661","154,822,128","3,371,748","14,234,808","68,961,544","47,324,695","1,372,661"
"104","","全産業（除く金融保険業）","21","","5千万円以上 - 1億円未満","20160","","2016年度","","21,481,076","772,489","580,323","1,576,464","150,573,345","3,401,204","13,071,756","69,513,709","46,647,057","1,576,464"
"104","","全産業（除く金融保険業）","21","","5千万円以上 - 1億円未満","20170","","2017年度","","24,010,463","1,314,259","614,854","1,965,112","166,532,625","3,444,468","13,098,680","84,907,332","51,346,297","1,965,112"
"104","","全産業（除く金融保険業）","21","","5千万円以上 - 1億円未満","20180","","2018年度","","21,611,735","1,360,255","401,160","1,376,993","148,902,544","2,965,288","17,359,680","67,124,404","46,812,004","1,376,993"
"104","","全産業（除く金融保険業）","21","","5千万円以上 - 1億円未満","20190","","2019年度","","20,483,889","1,043,929","435,292","1,287,714","148,338,672","3,304,001","12,607,524","68,154,023","45,205,742","1,287,714"
"104","","全産業（除く金融保険業）","21","","5千万円以上 - 1億円未満","20200","","2020年度","","20,335,462","973,638","519,312","1,981,992","152,252,749","3,156,112","14,058,360","67,456,334","45,117,547","1,981,992"
"104","","全産業（除く金融保険業）","21","","5千万円以上 - 1億円未満","20210","","2021年度","","21,859,616","1,228,746","640,195","2,984,605","159,336,896","3,341,241","13,503,341","73,155,153","48,255,402","2,984,605"
"104","","全産業（除く金融保険業）","21","","5千万円以上 - 1億円未満","20220","","2022年度","","22,508,057","957,410","682,080","2,120,297","175,952,779","3,316,234","16,167,531","76,454,505","48,445,977","2,120,297"
"104","","全産業（除く金融保険業）","21","","5千万円以上 - 1億円未満","20230","","2023年度","","23,409,902","1,578,338","605,860","1,721,892","186,798,202","3,511,356","18,127,517","84,450,847","51,132,735","1,721,892"
"104","","全産業（除く金融保険業）","21","","5千万円以上 - 1億円未満","20240","","2024年度","","22,656,143","1,414,130","839,594","1,882,730","191,548,679","3,693,195","19,028,178","88,727,796","50,482,767","1,882,730"
"104","","全産業（除く金融保険業）","19","","1千万円以上 - 1億円未満","20150","","2015年度","","77,442,669","3,389,563","960,233","3,886,738","484,341,783","10,519,420","38,306,486","232,201,267","157,254,055","3,886,738"
"104","","全産業（除く金融保険業）","19","","1千万円以上 - 1億円未満","20160","","2016年度","","73,428,855","4,115,150","1,591,788","4,935,209","486,274,770","10,075,630","38,024,282","235,130,938","153,978,843","4,935,209"
"104","","全産業（除く金融保険業）","19","","1千万円以上 - 1億円未満","20170","","2017年度","","80,342,466","4,132,480","1,926,451","4,676,770","538,463,511","10,495,452","42,121,186","271,736,899","162,880,762","4,676,770"
"104","","全産業（除く金融保険業）","19","","1千万円以上 - 1億円未満","20180","","2018年度","","84,526,719","5,774,979","1,100,220","3,839,940","522,462,246","9,684,953","43,047,985","262,734,356","168,880,069","3,839,940"
"104","","全産業（除く金融保険業）","19","","1千万円以上 - 1億円未満","20190","","2019年度","","76,692,195","4,603,632","992,021","3,476,280","508,095,077","9,897,337","38,220,837","257,677,784","156,639,166","3,476,280"
