# 予測X・Y・Z の標本を再現するための種。
# 人材サービス総合サイトの詳細検索（全国・四職種）で得た許可番号の一覧。
# 届出内容の値は含まない。値は fetch_jinzai_detail.py で取得し直すこと。
# 相異なる許可番号 1130 / 企業と職種の組 1402
許可・届出受理番号	職種
17-ユ-010036	9.保育士
17-ユ-010047	4.看護師、准看護師
17-ユ-010047	7.施設介護の職業
17-ユ-300049	4.看護師、准看護師
17-ユ-300096	4.看護師、准看護師
17-ユ-300096	9.保育士
17-ユ-300118	9.保育士
17-ユ-300126	7.施設介護の職業
17-ユ-300133	7.施設介護の職業
17-ユ-300134	9.保育士
17-ユ-300144	1.医師
17-ユ-300148	9.保育士
17-ユ-300169	7.施設介護の職業
17-ユ-300188	7.施設介護の職業
17-ユ-300192	7.施設介護の職業
17-ユ-300203	4.看護師、准看護師
17-ユ-300212	7.施設介護の職業
17-ユ-300225	1.医師
17-ユ-300228	4.看護師、准看護師
17-ユ-300228	7.施設介護の職業
17-ユ-300228	9.保育士
17-特-000047	7.施設介護の職業
18-ユ-010007	7.施設介護の職業
18-ユ-010007	9.保育士
18-ユ-300011	9.保育士
18-ユ-300067	4.看護師、准看護師
18-ユ-300074	4.看護師、准看護師
18-ユ-300074	7.施設介護の職業
18-ユ-300110	7.施設介護の職業
18-ユ-300115	4.看護師、准看護師
19-ユ-010029	4.看護師、准看護師
19-ユ-010029	7.施設介護の職業
19-ユ-300103	4.看護師、准看護師
19-ユ-300103	7.施設介護の職業
19-ユ-300103	9.保育士
19-ユ-300108	4.看護師、准看護師
19-ユ-300108	7.施設介護の職業
19-ユ-300108	9.保育士
19-ユ-300110	4.看護師、准看護師
19-ユ-300110	7.施設介護の職業
19-ユ-300111	4.看護師、准看護師
20-ム-010002	1.医師
20-ユ-010005	4.看護師、准看護師
20-ユ-010005	7.施設介護の職業
20-ユ-300018	4.看護師、准看護師
20-ユ-300018	7.施設介護の職業
20-ユ-300018	9.保育士
20-ユ-300156	4.看護師、准看護師
20-ユ-300252	7.施設介護の職業
20-ユ-300266	4.看護師、准看護師
20-ユ-300341	7.施設介護の職業
20-特-000081	7.施設介護の職業
21-ユ-010012	7.施設介護の職業
21-ユ-010036	7.施設介護の職業
21-ユ-300004	9.保育士
21-ユ-300017	4.看護師、准看護師
21-ユ-300127	1.医師
21-ユ-300244	4.看護師、准看護師
21-ユ-300244	7.施設介護の職業
21-ユ-300326	4.看護師、准看護師
21-ユ-300336	7.施設介護の職業
21-ユ-300394	7.施設介護の職業
21-ユ-300404	7.施設介護の職業
21-ユ-300432	7.施設介護の職業
21-ユ-300451	4.看護師、准看護師
21-ユ-300451	7.施設介護の職業
21-ユ-300451	9.保育士
22-ム-010003	4.看護師、准看護師
22-ユ-030010	7.施設介護の職業
22-ユ-300208	9.保育士
22-ユ-300353	9.保育士
22-ユ-300442	4.看護師、准看護師
22-ユ-300451	9.保育士
22-ユ-300465	4.看護師、准看護師
22-ユ-300465	7.施設介護の職業
22-ユ-300473	4.看護師、准看護師
22-ユ-300475	9.保育士
22-ユ-300487	4.看護師、准看護師
22-ユ-300565	4.看護師、准看護師
22-ユ-300565	7.施設介護の職業
22-ユ-300615	9.保育士
22-ユ-300621	7.施設介護の職業
22-ユ-300628	9.保育士
22-ユ-300638	9.保育士
22-ユ-300647	7.施設介護の職業
22-ユ-300685	7.施設介護の職業
22-ユ-300701	4.看護師、准看護師
22-ユ-300709	4.看護師、准看護師
22-ユ-300709	7.施設介護の職業
22-ユ-300709	9.保育士
22-ユ-300727	4.看護師、准看護師
22-ユ-300782	7.施設介護の職業
22-ユ-300813	4.看護師、准看護師
22-ユ-300813	7.施設介護の職業
22-ユ-300817	4.看護師、准看護師
22-ユ-300817	7.施設介護の職業
22-ユ-300859	7.施設介護の職業
22-ユ-300893	4.看護師、准看護師
22-ユ-300946	7.施設介護の職業
22-ユ-300949	9.保育士
22-特-000088	7.施設介護の職業
23-ム-020002	9.保育士
23-ユ-020159	7.施設介護の職業
23-ユ-040011	1.医師
23-ユ-040011	4.看護師、准看護師
23-ユ-300062	4.看護師、准看護師
23-ユ-300087	4.看護師、准看護師
23-ユ-300097	4.看護師、准看護師
23-ユ-300201	9.保育士
23-ユ-300229	7.施設介護の職業
23-ユ-300327	4.看護師、准看護師
23-ユ-300384	1.医師
23-ユ-300401	4.看護師、准看護師
23-ユ-300401	7.施設介護の職業
23-ユ-300562	7.施設介護の職業
23-ユ-300854	7.施設介護の職業
23-ユ-300863	4.看護師、准看護師
23-ユ-301014	7.施設介護の職業
23-ユ-301089	1.医師
23-ユ-301155	1.医師
23-ユ-301240	1.医師
23-ユ-301243	1.医師
23-ユ-301249	7.施設介護の職業
23-ユ-301389	4.看護師、准看護師
23-ユ-301423	7.施設介護の職業
23-ユ-301506	7.施設介護の職業
23-ユ-301526	1.医師
23-ユ-301588	7.施設介護の職業
23-ユ-301588	9.保育士
23-ユ-301598	7.施設介護の職業
23-ユ-301601	1.医師
23-ユ-301642	1.医師
23-ユ-301697	1.医師
23-ユ-301761	7.施設介護の職業
23-ユ-301793	7.施設介護の職業
23-ユ-301985	4.看護師、准看護師
23-ユ-302009	7.施設介護の職業
23-ユ-302050	4.看護師、准看護師
23-ユ-302100	7.施設介護の職業
23-ユ-302133	7.施設介護の職業
23-ユ-302154	4.看護師、准看護師
23-ユ-302179	1.医師
23-ユ-302179	4.看護師、准看護師
23-ユ-302184	4.看護師、准看護師
23-ユ-302238	4.看護師、准看護師
23-ユ-302238	7.施設介護の職業
23-ユ-302298	7.施設介護の職業
23-ユ-302301	9.保育士
23-ユ-302311	9.保育士
23-ユ-302313	7.施設介護の職業
23-ユ-302430	4.看護師、准看護師
23-ユ-302431	4.看護師、准看護師
23-ユ-302447	7.施設介護の職業
23-ユ-302476	7.施設介護の職業
23-ユ-302545	4.看護師、准看護師
23-ユ-302545	7.施設介護の職業
23-ユ-302545	9.保育士
23-ユ-302546	7.施設介護の職業
23-ユ-302571	7.施設介護の職業
23-ユ-302583	9.保育士
23-ユ-302622	7.施設介護の職業
23-ユ-302682	7.施設介護の職業
23-ユ-302683	7.施設介護の職業
23-ユ-302684	1.医師
23-ユ-302764	4.看護師、准看護師
23-ユ-302764	7.施設介護の職業
23-ユ-302809	7.施設介護の職業
23-ユ-302854	7.施設介護の職業
23-ユ-302971	7.施設介護の職業
23-ユ-303020	4.看護師、准看護師
23-ユ-303196	7.施設介護の職業
23-ユ-303218	9.保育士
24-ユ-300003	9.保育士
24-ユ-300215	7.施設介護の職業
24-ユ-300263	4.看護師、准看護師
24-ユ-300274	7.施設介護の職業
24-ユ-300297	7.施設介護の職業
24-ユ-300369	7.施設介護の職業
25-ユ-300133	4.看護師、准看護師
25-ユ-300227	7.施設介護の職業
25-ユ-300300	4.看護師、准看護師
25-ユ-300300	7.施設介護の職業
25-ユ-300312	7.施設介護の職業
25-ユ-300319	7.施設介護の職業
26-ム-300006	1.医師
26-ユ-300089	9.保育士
26-ユ-300099	4.看護師、准看護師
26-ユ-300108	9.保育士
26-ユ-300128	7.施設介護の職業
26-ユ-300184	7.施設介護の職業
26-ユ-300217	1.医師
26-ユ-300217	4.看護師、准看護師
26-ユ-300221	1.医師
26-ユ-300221	4.看護師、准看護師
26-ユ-300337	9.保育士
26-ユ-300360	4.看護師、准看護師
26-ユ-300423	4.看護師、准看護師
26-ユ-300456	1.医師
26-ユ-300456	4.看護師、准看護師
26-ユ-300522	4.看護師、准看護師
26-ユ-300571	4.看護師、准看護師
26-ユ-300587	7.施設介護の職業
26-ユ-300603	9.保育士
26-ユ-300614	4.看護師、准看護師
26-ユ-300623	9.保育士
26-ユ-300678	1.医師
26-ユ-300736	7.施設介護の職業
26-ユ-300739	4.看護師、准看護師
26-ユ-300784	7.施設介護の職業
26-ユ-300791	7.施設介護の職業
26-特-000026	7.施設介護の職業
27-ム-040001	7.施設介護の職業
27-ユ-020092	7.施設介護の職業
27-ユ-020106	1.医師
27-ユ-020166	4.看護師、准看護師
27-ユ-020166	7.施設介護の職業
27-ユ-020166	9.保育士
27-ユ-030180	4.看護師、准看護師
27-ユ-080009	7.施設介護の職業
27-ユ-300072	9.保育士
27-ユ-300080	1.医師
27-ユ-300080	4.看護師、准看護師
27-ユ-300137	1.医師
27-ユ-300165	9.保育士
27-ユ-300269	9.保育士
27-ユ-300336	1.医師
27-ユ-300378	1.医師
27-ユ-300411	1.医師
27-ユ-300441	1.医師
27-ユ-300441	4.看護師、准看護師
27-ユ-300610	7.施設介護の職業
27-ユ-300618	7.施設介護の職業
27-ユ-300619	4.看護師、准看護師
27-ユ-300644	7.施設介護の職業
27-ユ-300795	1.医師
27-ユ-300937	7.施設介護の職業
27-ユ-300960	4.看護師、准看護師
27-ユ-300987	4.看護師、准看護師
27-ユ-301038	1.医師
27-ユ-301145	7.施設介護の職業
27-ユ-301145	9.保育士
27-ユ-301194	4.看護師、准看護師
27-ユ-301194	7.施設介護の職業
27-ユ-301275	4.看護師、准看護師
27-ユ-301275	7.施設介護の職業
27-ユ-301284	1.医師
27-ユ-301324	7.施設介護の職業
27-ユ-301343	4.看護師、准看護師
27-ユ-301497	9.保育士
27-ユ-301574	1.医師
27-ユ-301641	4.看護師、准看護師
27-ユ-301641	7.施設介護の職業
27-ユ-301641	9.保育士
27-ユ-301715	4.看護師、准看護師
27-ユ-301846	1.医師
27-ユ-301897	1.医師
27-ユ-301981	4.看護師、准看護師
27-ユ-301981	7.施設介護の職業
27-ユ-301981	9.保育士
27-ユ-302001	1.医師
27-ユ-302076	1.医師
27-ユ-302101	4.看護師、准看護師
27-ユ-302129	7.施設介護の職業
27-ユ-302189	9.保育士
27-ユ-302230	4.看護師、准看護師
27-ユ-302230	7.施設介護の職業
27-ユ-302231	4.看護師、准看護師
27-ユ-302270	7.施設介護の職業
27-ユ-302289	4.看護師、准看護師
27-ユ-302289	7.施設介護の職業
27-ユ-302320	1.医師
27-ユ-302352	9.保育士
27-ユ-302378	4.看護師、准看護師
27-ユ-302386	4.看護師、准看護師
27-ユ-302386	7.施設介護の職業
27-ユ-302427	4.看護師、准看護師
27-ユ-302427	7.施設介護の職業
27-ユ-302493	7.施設介護の職業
27-ユ-302531	7.施設介護の職業
27-ユ-302582	4.看護師、准看護師
27-ユ-302647	4.看護師、准看護師
27-ユ-302657	4.看護師、准看護師
27-ユ-302768	1.医師
27-ユ-302788	7.施設介護の職業
27-ユ-302805	4.看護師、准看護師
27-ユ-302822	4.看護師、准看護師
27-ユ-302822	7.施設介護の職業
27-ユ-302875	4.看護師、准看護師
27-ユ-302988	1.医師
27-ユ-303009	7.施設介護の職業
27-ユ-303034	7.施設介護の職業
27-ユ-303068	1.医師
27-ユ-303095	1.医師
27-ユ-303107	4.看護師、准看護師
27-ユ-303107	9.保育士
27-ユ-303148	4.看護師、准看護師
27-ユ-303151	7.施設介護の職業
27-ユ-303199	4.看護師、准看護師
27-ユ-303235	7.施設介護の職業
27-ユ-303294	4.看護師、准看護師
27-ユ-303294	7.施設介護の職業
27-ユ-303315	9.保育士
27-ユ-303323	4.看護師、准看護師
27-ユ-303323	7.施設介護の職業
27-ユ-303323	9.保育士
27-ユ-303327	1.医師
27-ユ-303327	4.看護師、准看護師
27-ユ-303354	1.医師
27-ユ-303354	4.看護師、准看護師
27-ユ-303388	7.施設介護の職業
27-ユ-303393	4.看護師、准看護師
27-ユ-303430	9.保育士
27-ユ-303442	7.施設介護の職業
27-ユ-303487	7.施設介護の職業
27-ユ-303529	7.施設介護の職業
27-ユ-303567	4.看護師、准看護師
27-ユ-303580	7.施設介護の職業
27-ユ-303593	7.施設介護の職業
27-ユ-303634	1.医師
27-ユ-303663	7.施設介護の職業
27-ユ-303672	1.医師
27-ユ-303677	7.施設介護の職業
27-ユ-303678	7.施設介護の職業
27-ユ-303682	4.看護師、准看護師
27-ユ-303682	7.施設介護の職業
27-ユ-303707	4.看護師、准看護師
27-ユ-303707	9.保育士
27-ユ-303729	9.保育士
27-ユ-303816	4.看護師、准看護師
27-ユ-303827	4.看護師、准看護師
27-ユ-303862	7.施設介護の職業
27-ユ-303909	7.施設介護の職業
27-ユ-303957	4.看護師、准看護師
27-ユ-303961	4.看護師、准看護師
27-ユ-303961	7.施設介護の職業
27-ユ-303961	9.保育士
27-ユ-303969	7.施設介護の職業
27-ユ-303983	7.施設介護の職業
27-ユ-304020	4.看護師、准看護師
27-ユ-304051	1.医師
27-ユ-304051	4.看護師、准看護師
27-ユ-304090	1.医師
27-ユ-304090	4.看護師、准看護師
27-ユ-304129	7.施設介護の職業
27-ユ-304139	1.医師
27-ユ-304155	7.施設介護の職業
27-ユ-304156	1.医師
27-ユ-304203	7.施設介護の職業
27-ユ-304207	4.看護師、准看護師
27-ユ-304332	4.看護師、准看護師
27-ユ-304344	7.施設介護の職業
27-ユ-304432	4.看護師、准看護師
27-ユ-304432	7.施設介護の職業
27-ユ-304462	4.看護師、准看護師
27-ユ-304462	7.施設介護の職業
27-ユ-304769	4.看護師、准看護師
27-ユ-304779	4.看護師、准看護師
27-ユ-304892	7.施設介護の職業
27-ユ-304914	7.施設介護の職業
27-ユ-305060	4.看護師、准看護師
27-ユ-305060	9.保育士
27-ユ-305128	4.看護師、准看護師
27-ユ-305190	1.医師
28-ユ-010070	1.医師
28-ユ-010070	4.看護師、准看護師
28-ユ-010070	7.施設介護の職業
28-ユ-300307	7.施設介護の職業
28-ユ-300345	9.保育士
28-ユ-300577	4.看護師、准看護師
28-ユ-300607	4.看護師、准看護師
28-ユ-300609	4.看護師、准看護師
28-ユ-300628	4.看護師、准看護師
28-ユ-300654	9.保育士
28-ユ-300655	4.看護師、准看護師
28-ユ-300694	7.施設介護の職業
28-ユ-300827	7.施設介護の職業
28-ユ-300859	4.看護師、准看護師
28-ユ-300909	4.看護師、准看護師
28-ユ-300909	7.施設介護の職業
28-ユ-300909	9.保育士
28-ユ-300917	4.看護師、准看護師
28-ユ-300917	7.施設介護の職業
28-ユ-300930	7.施設介護の職業
28-ユ-300941	7.施設介護の職業
28-ユ-300942	4.看護師、准看護師
28-ユ-300952	1.医師
28-ユ-301017	9.保育士
28-ユ-301023	4.看護師、准看護師
28-ユ-301023	7.施設介護の職業
28-ユ-301032	4.看護師、准看護師
28-ユ-301070	1.医師
28-ユ-301099	7.施設介護の職業
28-ユ-301099	9.保育士
28-ユ-301151	4.看護師、准看護師
28-ユ-301154	7.施設介護の職業
28-ユ-301162	1.医師
28-ユ-301162	4.看護師、准看護師
28-ユ-301206	4.看護師、准看護師
28-ユ-301206	7.施設介護の職業
28-ユ-301211	1.医師
28-ユ-301212	1.医師
28-ユ-301247	7.施設介護の職業
28-ユ-301273	7.施設介護の職業
28-ユ-301278	1.医師
28-ユ-301290	7.施設介護の職業
28-ユ-301317	7.施設介護の職業
28-ユ-301319	1.医師
28-ユ-301501	7.施設介護の職業
29-ム-020002	4.看護師、准看護師
29-ム-020003	7.施設介護の職業
29-ユ-300051	4.看護師、准看護師
29-ユ-300051	7.施設介護の職業
29-ユ-300099	1.医師
29-ユ-300099	4.看護師、准看護師
29-ユ-300103	4.看護師、准看護師
29-ユ-300103	7.施設介護の職業
29-ユ-300103	9.保育士
29-ユ-300108	4.看護師、准看護師
29-ユ-300111	7.施設介護の職業
29-ユ-300119	7.施設介護の職業
29-ユ-300135	4.看護師、准看護師
29-ユ-300137	7.施設介護の職業
29-ユ-300152	4.看護師、准看護師
29-ユ-300168	7.施設介護の職業
29-ユ-300179	7.施設介護の職業
29-ユ-300185	4.看護師、准看護師
29-ユ-300198	4.看護師、准看護師
29-ユ-300223	9.保育士
29-ユ-300230	7.施設介護の職業
29-ユ-300234	1.医師
30-ム-010004	9.保育士
30-ユ-300046	7.施設介護の職業
30-ユ-300085	7.施設介護の職業
31-ユ-300038	4.看護師、准看護師
31-ユ-300042	4.看護師、准看護師
32-ユ-300021	7.施設介護の職業
32-ユ-300028	7.施設介護の職業
32-ユ-300053	7.施設介護の職業
33-ユ-010032	4.看護師、准看護師
33-ユ-010032	7.施設介護の職業
33-ユ-010053	7.施設介護の職業
33-ユ-300017	4.看護師、准看護師
33-ユ-300017	7.施設介護の職業
33-ユ-300159	7.施設介護の職業
33-ユ-300168	7.施設介護の職業
33-ユ-300175	4.看護師、准看護師
33-ユ-300208	4.看護師、准看護師
33-ユ-300208	7.施設介護の職業
33-ユ-300232	7.施設介護の職業
33-ユ-300249	9.保育士
33-ユ-300294	4.看護師、准看護師
33-ユ-300334	4.看護師、准看護師
33-ユ-300338	4.看護師、准看護師
33-ユ-300364	7.施設介護の職業
33-ユ-300371	7.施設介護の職業
33-ユ-300372	4.看護師、准看護師
33-ユ-300372	7.施設介護の職業
34-ム-010004	4.看護師、准看護師
34-ム-300016	9.保育士
34-ユ-010108	7.施設介護の職業
34-ユ-300174	4.看護師、准看護師
34-ユ-300329	9.保育士
34-ユ-300364	7.施設介護の職業
34-ユ-300367	9.保育士
34-ユ-300530	4.看護師、准看護師
34-ユ-300547	4.看護師、准看護師
34-ユ-300549	7.施設介護の職業
34-ユ-300584	4.看護師、准看護師
34-ユ-300584	7.施設介護の職業
34-ユ-300600	7.施設介護の職業
34-ユ-300617	1.医師
34-ユ-300620	9.保育士
34-ユ-300678	7.施設介護の職業
34-ユ-300679	1.医師
35-ユ-300068	1.医師
35-ユ-300068	4.看護師、准看護師
35-ユ-300068	7.施設介護の職業
35-ユ-300133	1.医師
36-ユ-010028	4.看護師、准看護師
36-ユ-300072	7.施設介護の職業
36-ユ-300092	7.施設介護の職業
36-特-000082	7.施設介護の職業
37-ム-010003	7.施設介護の職業
37-ム-010003	9.保育士
37-ム-010007	1.医師
37-ム-300007	1.医師
37-ユ-300090	4.看護師、准看護師
37-ユ-300090	7.施設介護の職業
37-ユ-300093	4.看護師、准看護師
37-ユ-300110	1.医師
37-ユ-300120	4.看護師、准看護師
37-ユ-300135	4.看護師、准看護師
37-ユ-300137	4.看護師、准看護師
37-ユ-300137	7.施設介護の職業
37-ユ-300144	4.看護師、准看護師
37-ユ-300173	7.施設介護の職業
37-ユ-300191	7.施設介護の職業
37-ユ-300198	7.施設介護の職業
38-ユ-010029	7.施設介護の職業
38-ユ-030001	7.施設介護の職業
38-ユ-300013	7.施設介護の職業
38-ユ-300019	7.施設介護の職業
38-ユ-300042	7.施設介護の職業
38-ユ-300146	4.看護師、准看護師
39-ユ-300021	1.医師
39-ユ-300029	1.医師
39-ユ-300049	4.看護師、准看護師
39-ユ-300049	7.施設介護の職業
40-ム-010004	4.看護師、准看護師
40-ユ-010064	1.医師
40-ユ-010166	1.医師
40-ユ-010166	4.看護師、准看護師
40-ユ-010166	7.施設介護の職業
40-ユ-010187	1.医師
40-ユ-080003	7.施設介護の職業
40-ユ-300039	7.施設介護の職業
40-ユ-300144	1.医師
40-ユ-300209	1.医師
40-ユ-300229	4.看護師、准看護師
40-ユ-300229	7.施設介護の職業
40-ユ-300379	9.保育士
40-ユ-300512	1.医師
40-ユ-300512	4.看護師、准看護師
40-ユ-300536	4.看護師、准看護師
40-ユ-300557	1.医師
40-ユ-300557	4.看護師、准看護師
40-ユ-300593	9.保育士
40-ユ-300595	1.医師
40-ユ-300610	7.施設介護の職業
40-ユ-300626	1.医師
40-ユ-300629	7.施設介護の職業
40-ユ-300634	1.医師
40-ユ-300649	1.医師
40-ユ-300649	4.看護師、准看護師
40-ユ-300673	1.医師
40-ユ-300673	4.看護師、准看護師
40-ユ-300673	7.施設介護の職業
40-ユ-300699	1.医師
40-ユ-300776	4.看護師、准看護師
40-ユ-300876	4.看護師、准看護師
40-ユ-300876	7.施設介護の職業
40-ユ-300911	9.保育士
40-ユ-300916	1.医師
40-ユ-300943	1.医師
40-ユ-300979	4.看護師、准看護師
40-ユ-300981	9.保育士
40-ユ-301014	7.施設介護の職業
40-ユ-301047	7.施設介護の職業
40-ユ-301060	4.看護師、准看護師
40-ユ-301142	4.看護師、准看護師
40-ユ-301142	7.施設介護の職業
40-ユ-301163	9.保育士
40-ユ-301217	9.保育士
40-ユ-301291	4.看護師、准看護師
40-ユ-301296	7.施設介護の職業
40-ユ-301332	7.施設介護の職業
40-ユ-301366	7.施設介護の職業
40-ユ-301369	7.施設介護の職業
40-ユ-301522	9.保育士
40-ユ-301531	4.看護師、准看護師
40-ユ-301539	7.施設介護の職業
41-ユ-300063	4.看護師、准看護師
41-ユ-300063	7.施設介護の職業
41-ユ-300069	7.施設介護の職業
42-ム-010003	7.施設介護の職業
42-ユ-300039	1.医師
42-ユ-300039	4.看護師、准看護師
42-ユ-300133	4.看護師、准看護師
42-ユ-300133	7.施設介護の職業
42-ユ-300137	7.施設介護の職業
42-ユ-300144	7.施設介護の職業
42-ユ-300149	9.保育士
42-ユ-300164	7.施設介護の職業
42-ユ-300177	7.施設介護の職業
43-ユ-010011	4.看護師、准看護師
43-ユ-010027	1.医師
43-ユ-010054	7.施設介護の職業
43-ユ-300013	1.医師
43-ユ-300013	4.看護師、准看護師
43-ユ-300013	9.保育士
43-ユ-300084	1.医師
43-ユ-300206	4.看護師、准看護師
43-ユ-300206	7.施設介護の職業
43-ユ-300208	7.施設介護の職業
43-ユ-300212	7.施設介護の職業
43-ユ-300213	9.保育士
43-ユ-300234	4.看護師、准看護師
44-ユ-300113	4.看護師、准看護師
44-ユ-300151	1.医師
44-ユ-300154	7.施設介護の職業
44-ユ-300166	1.医師
44-ユ-300171	4.看護師、准看護師
45-ユ-010001	7.施設介護の職業
45-ユ-300007	1.医師
45-ユ-300023	4.看護師、准看護師
45-ユ-300055	7.施設介護の職業
45-ユ-300076	4.看護師、准看護師
45-ユ-300099	4.看護師、准看護師
45-ユ-300111	7.施設介護の職業
45-ユ-300114	7.施設介護の職業
45-ユ-300117	7.施設介護の職業
46-ユ-010024	4.看護師、准看護師
46-ユ-010029	4.看護師、准看護師
46-ユ-010029	7.施設介護の職業
46-ユ-010035	4.看護師、准看護師
46-ユ-010035	7.施設介護の職業
46-ユ-300101	1.医師
46-ユ-300102	7.施設介護の職業
46-ユ-300113	7.施設介護の職業
46-ユ-300161	4.看護師、准看護師
46-ユ-300163	4.看護師、准看護師
46-ユ-300164	4.看護師、准看護師
46-ユ-300164	7.施設介護の職業
46-ユ-300164	9.保育士
46-ユ-300176	4.看護師、准看護師
46-ユ-300176	7.施設介護の職業
46-ユ-300183	4.看護師、准看護師
46-ユ-300201	1.医師
46-ユ-300220	4.看護師、准看護師
47-ユ-300083	7.施設介護の職業
47-ユ-300216	4.看護師、准看護師
47-ユ-300216	7.施設介護の職業
47-ユ-300230	9.保育士
47-ユ-300240	9.保育士
47-ユ-300245	4.看護師、准看護師
47-ユ-300245	9.保育士
47-ユ-300246	7.施設介護の職業
47-ユ-300272	7.施設介護の職業
47-ユ-300283	7.施設介護の職業
