# 予測X・Y・Z の標本を再現するための種。
# 人材サービス総合サイトの詳細検索（全国・四職種）で得た許可番号の一覧。
# 届出内容の値は含まない。値は fetch_jinzai_detail.py で取得し直すこと。
# 相異なる許可番号 1130 / 企業と職種の組 1402
許可・届出受理番号	職種
11-ユ-300620	4.看護師、准看護師
11-ユ-300712	9.保育士
11-ユ-300722	4.看護師、准看護師
11-ユ-300722	7.施設介護の職業
11-ユ-300741	1.医師
11-ユ-300864	1.医師
11-ユ-300877	1.医師
11-ユ-300877	4.看護師、准看護師
11-ユ-300878	7.施設介護の職業
11-ユ-300942	1.医師
11-ユ-300990	7.施設介護の職業
11-ユ-301007	7.施設介護の職業
11-ユ-301041	1.医師
11-ユ-301102	1.医師
11-ユ-301215	4.看護師、准看護師
11-ユ-301215	7.施設介護の職業
11-ユ-301223	7.施設介護の職業
11-ユ-301311	1.医師
11-ユ-301388	4.看護師、准看護師
11-ユ-301392	4.看護師、准看護師
11-ユ-301445	4.看護師、准看護師
12-ユ-010013	7.施設介護の職業
12-ユ-300059	1.医師
12-ユ-300367	1.医師
12-ユ-300380	1.医師
12-ユ-300380	4.看護師、准看護師
12-ユ-300498	4.看護師、准看護師
12-ユ-300498	9.保育士
12-ユ-300551	7.施設介護の職業
12-ユ-300574	7.施設介護の職業
12-ユ-300604	1.医師
12-ユ-300620	4.看護師、准看護師
12-ユ-300640	7.施設介護の職業
12-ユ-300647	9.保育士
12-ユ-300666	4.看護師、准看護師
12-ユ-300678	4.看護師、准看護師
12-ユ-300678	9.保育士
12-ユ-300692	1.医師
12-ユ-300743	7.施設介護の職業
12-ユ-300745	9.保育士
12-ユ-300761	7.施設介護の職業
12-ユ-300766	9.保育士
12-ユ-300827	9.保育士
12-ユ-300828	4.看護師、准看護師
12-ユ-300876	1.医師
12-ユ-300876	4.看護師、准看護師
12-ユ-300879	7.施設介護の職業
12-ユ-300882	7.施設介護の職業
12-ユ-300916	4.看護師、准看護師
12-ユ-300920	4.看護師、准看護師
12-ユ-300920	7.施設介護の職業
12-ユ-300991	4.看護師、准看護師
12-ユ-300991	7.施設介護の職業
12-ユ-300995	7.施設介護の職業
12-ユ-300996	4.看護師、准看護師
12-ユ-301130	4.看護師、准看護師
12-ユ-301202	9.保育士
13-ム-030002	4.看護師、准看護師
13-ム-030002	7.施設介護の職業
13-ム-030002	9.保育士
13-ム-080008	9.保育士
13-ム-200002	4.看護師、准看護師
13-ム-200002	9.保育士
13-ム-300113	1.医師
13-ユ-010175	1.医師
13-ユ-010248	1.医師
13-ユ-010274	4.看護師、准看護師
13-ユ-010403	1.医師
13-ユ-010403	4.看護師、准看護師
13-ユ-010444	1.医師
